luc_class,region,rock_type,soil,slope,erosion,vegetation
6e 8,MARL,Gw,41a,F    +E,1Sh,P 3 M 4 p 2 m11
3e 4,SI,Al,9a,B /C,1Sh,P 1
7w 1,SI,Pt,87,A,0,H 1 p 5
4e 6+3e 3,MARL,Lo/Al,15d,D    +C,1W 1Sh,P 1 l 3
2s 1,SHW,Lo/Gr,78,A,0,P 1
rive,MARL,rive,rive,rive,rive,rive
6e 3,SHW,Mj,29 H,D /E,1Ef,P 1
6e 2,SHW,Mj,29,D,1Ef1Sh,P 1
6e 2,TMU,Sm,MuH,E,1Ss,P 2 h 2 m 1
7e24,MARL,Gw,57a,F    +E,1Sh1Sc,P 2 p 3 m 2 m11
7e15,TMU,Wb,BRock,B    +E,5W,p 6
6e20,MARL,Al+Gw,53,C,1Sh1W,P 3 n 6 h 7
2s 1,SHW,(Lo)/Gr,76c,A,0,P 1
7e25,MARL,Gw,57,F,2Sh1Sc1G,p 3 m 2 p 2 p 4 h 4
6e 5,MARL,Hs+Ms,30eH,E,1Ss1Sh,P 2 m 1
6e23,MARL,Hs+In,30eH,F,1Sh1Sc,P 2 m 2 p 3 m11 m10
lake,SI,lake,lake,lake,lake,lake
6s 5,MARL,Al,95,B,1Sb,P 2 p 3
rive,MARL,rive,rive,rive,rive,rive
6e 5,SHW,Sm+Li,27cH,E,1Ss1T,P 1 m 6cn3a
6e 9,SHW,Sm,29fH,E,1T 1Ss,P 2 m 1
3s 3,SHW,Lo/Gr,29,A    +B,0,P 1
6e12,MARL,Gw,24,F,1Sh,P 3 M 4 p 2 m11
7e24,MARL,Gw,57a,F,1Sh,P 3 m 4 p 2
lake,SI,lake,lake,lake,lake,lake
6e 7,COR,Gw',10H,D /E,1Ss,P 2 N 1
4e 3,NLD,Sm+Sb,YT,C    +D,1Sh,P 1
6e 7,GEC,Kt/Mo/Mj+Kt/Mo/Mb,@NZSC,D    +C,1Ss,refer gecveg
3s 3,WLN,Lo/Cg,J,A    +B,0,P 1
3s 5,SI,Lo,15f,B,0,P 1
7e 7,SHW,Ac+Us,120a,F,2Ef1Ss1G,P 2 h 2
6e12,SHW,Ac,28cH,E    +D,1Ef,P 1 m 1
6s 3,SHW,Gw,35bH,E    +F,1Sh1Ss,P 2
7w 3,SI,Al,PAg,A,0,H 1 p 2
7e 7,MARL,Gw,41a,F,1Sh1G,P 3 m 2 p 2 m 1
6e19+6e 3,MARL,Gw+In,51,F    +E,2Sh1G,P 2 p 3 m10 m11
6e11,NHB,Mb,RuH,E,1Ss,P 1 m 6
6e 3,SHW,Mb,29H,E,1Ef1Ss,P 1
6e14,TMU,Sm,WhS,F    +E,1Sh1Ss,P 2cn 5
6e 1,SHW,Lo/Sm,35bH,D    +E,0,P 2
7e24,MARL,(Al)/Gw,57b,F,3Sc1Sh,N4b p 4 p 3
6e 7,SHW,Mm,29 H,E,2Ef2Ss1T,P 2 m 6
6s 2,MARL,Al,99,A,1D 1Sb,P 2 p 3 m10 m11
6e19,SI,Cw+Ss,8bH,D    +E,2Sh,P 2 m10
6s 3,SHW,Sm,32cH,E    +D,0,M 8
6e16+4e 6,MARL,Lo/Ms,16dH,E    +D,1T 1Ss1Sh,P 2 m11 p 3
4e 1,WKO,Mo,59c,D    +C,0,P 1
4s 2,COR,Gr,9,C,1Sb,P 1 n 1
6e16,SI,Cw,35aH,E,0,M 4 p 2
6e17,MARL,Gw,57a,E    +F,1Sh,P 2 p 3
6s 1,MARL,Al/Gw,27e,B,1W,P 2 M 4 m 1
6e16,SI,Al/Gw,31aH,F,1Sh G,M 4 m 1 n 5 p 3
6e15,MARL,Lo/Cw,17b,E,1Sh1Ss,P 2 p 3 m 4
6e17,MARL,Gw,57a,F,1Sh1Ss,P 2 m 1 m 4
7e10,NLD,Wb,PNH,F    +E,2Sh1W,P 2 m 1
6e17,MARL,Gw,57a,F,1Sh1Ss,P 2 m 4 m 1 p 3
8e 6,SHW,Gw,124,G,0,N4a n3a
7e 4,NLD,Sb,ANS,F    +G,2Sh1Ss,P 1 m 1 n3a
6e17,GEC,Sb,@NZSC,F,1Ss,refer gecveg
6e15,MARL,(Lo)/Cw,17b,E,1Sh1Ss,P 2 m 1
lake,SI,lake,lake,lake,lake,lake
4s 9,SI,Al,Dyb,B    +A,1W,P 2 p 3
6e17,MARL,Gw,57a,F,1Sh,P 3 M 1 p 2
6e16,MARL,Ms+Cw,22dH,E    +F,1Sh1Ss,P 3 p 2 m 1 m 4 m 2
7e21,SI,(Al)/St2,57e,E,2Da,P 4
7e24,MARL,Gw,57a,F,1Sh1G 1Sc,M 2 p 3 m 1 n4b h 4
4e 4,WKO,Vo'+Mo,Wts,D    +C,0,P 1 l 4
2w 2,WKO,Us+Pt,108a,A,0,P 1 l 1
6e12,MARL,Gw,24,F    +E,1Sh,P 3 m 1 p 2 m 4
6e 8,MARL,Gw,41a,F,1Sh,P 2 m11 m 4 p 3
6e21,SI,Cg+Ss,62bH,D    +C,1Ss Sh,M 4 m 1 m 6
6e 8,MARL,Gw,41a,F,1Sh1Sc,P 2 M 6 p 3
6e12,MARL,Lo/Gw,24 H,D    +E,1Sh,P 1 p 2
6e 8,MARL,Gw,41a,F,1Sh1Ss,P 3 m 4 p 2 m 1
7e 7,MARL,Gw,41a,F,2Sh,M 1
7e20,MARL,Gw,BRock,G    +F,1G 1Sh,m 6 p 3 m 2 p 2
6e13,MARL,Gw,17a,E,1Sh,P 2 m 1 p 3
1c 1,TMU,Mo,66a,A,0,P 1
6e 8,MARL,Gw,41aH,E,1Sh,P 3 m 1 p 2 m11
6e 8,MARL,Gw,41a,F    +E,1Sh,M11 m 1 p 3
4s 5,SI,Al,43,B,0,P 2 m 4 m 9
8e13,MARL,Gw,BRock,G,2Sc,h 4
6e12,MARL,Gw,24,F    +E,1Ss1Sh,P 2 m 1 p 3 m 4
6s 2,MARL,Al,52,A    +B,2Sb1D,P 2 m11 m 1
6e17,MARL,Gw,57a,F,1Sh,P 3 p 2 m11 m 2 m 1
5w 2,SI,Al,PR,A,0,P 2 h 2
8e 9,MARL,Gw,57a,F,2Sh2Sc1Da,M 5 p 3
town,NLD,town,town,town,town,town
6e 5,MARL,Gw,30eH,F,1Sh,P 3 M 4 p 2 m 1
8e 9,MARL,Gw,57a,F,2Sh1Da,N 4
6c 4,MARL,Gw,24 H,E    +D,1W,P 3 p 2
7e22,SI,Al/Ms,12H,F    +E,1Sh,N 4 n3a m 6
estu,NLD,estu,estu,estu,estu,M12
7e14,GEC,Sb,@NZSC,G    +H,1Ss1Sh,refer gecveg
7e24,MARL,Gw,57a,F,2G 1Sh,M 2 p 3 m 5
8e11,MARL,Gw,57,F,3Sc2G,P 3 m 5
7e24,MARL,Gw,57a,F    +G,2G 2Sc1Sh,H 7 p 2 m11 m 1
7e20,MARL,Gw,51,F    +G,2Sh1G,P 2 p 3 h 7 m11 m10
7e 3,MARL,Ls,74,F,1Sc1Sh,P 3 m11 p 2
6e 8,MARL,Gw,41a,E    +F,1Sh,P 2 M11 p 3 m10
6e12,MARL,Gw+In,24,F    +E,1Sh,P 3 m 2 p 2 m 4 m11
6e16,MARL,Cw,22eH,F    +E,1Ss,P 2 m 1
7e20,MARL,Gw,51,G,1Sh1Sc,M 5 m11
lake,SI,lake,lake,lake,lake,lake
6e25,SI,Al+Ss,46 H,E,1Sh Ss,N 6 m 4 m 6
7e20,MARL,Gw,51,F,2Sh,P 2 h 7
7e20,MARL,Gw,51,F,2Sh2Sc1G,P 3 h 7 m 5 m11
6e19,MARL,Gw,51,E    +D,1Sh,P 2 p 3 m10
8e16,MARL,Um,79,D,1Sh,P 5 m 1
4s 9,SI,Al,St,A,1W,P 2 p 1
7e 8,SI,Ls,74a,G,3Sh Da,M 6 p 2
8e12,MARL,Gw,58,F,2Sc2Sh,P 4
6e19,MARL,Al/Gw,50a,C,1Sh1Sb,H 7 p 2 m10
7e24,MARL,Gw,57b,F,3Sc2Sh,P 3 m 5 p 4
6s 1,SI,Al,98g,A,1W  Sb,P 2 M 1 p 3 p 5 m 8
7e22,MARL,Al,57a,E,1Sh1Sc,P 3 p 4
town,SI,town,town,town,town,town
6e 8,MARL,Gw,41a,F,1Sh,P 2 M 4 p 3
8e 8,MARL,Gw,51a,F,5Sc,p 4
8e 3,NLD,Gw,TRS,G,2Sh1W,h 3 p 2
6s 1+7w 1,SI,Al,98d,A    +B,1Sb,N 4 n3a m 1
8e 3,NLD,Gw,TRS,G,3Sh,H 3
6e 3,MARL,In,77eH,E    +C,1Sh,P 2 p 3
6c 1,SI,Lo/Al,52,B    +C,2W,P 3 p 5 n 4
6e 5,SI,Ls,74a,F,1Da Sh,P 2
4s 5,SI,Al,43c,B,1Sb,M 6 m 8 p 2
4e10,NLD,Us,TEK,C,1G,P 1
4e 6,MARL,Lo/Al/Ms,15d,C,1W,P 1 p 2
8w 1,SI,Pt+Al,87,A,0,H 1 M 1
lake,SI,lake,lake,lake,lake,lake
6e27,SI,Al/Ss,53,C    +D,1W  Sh,P 3 p 2 m 1 m11
7s 3,SI,Al,99,A,1Sb,P 3 p 4 h 1
7w 2,SI,Al+Pt,91a,A,0,H 5 m 1
6w 1,NLD,Al+Wb,OEy,A,0,H 2
2w 2,NLD,Al,KA,A,0,P 1 l 3 h 2
lake,SI,lake,lake,lake,lake,lake
6e23,TMU,(Mo)/Sm,NplH,E,1Ss,M 1 m 6 p 2
6e 2,NLD,Vo,MNH,D    +E,1Sh1W,M 1 n3a
7e 1,NLD,Vo,AKH,F /G,1Sh,P 1 m 1
4s 5,NLD,Us+Pt,TEK,A,0,M 1 m 8 h 2
lake,SI,lake,lake,lake,lake,lake
3e 3,TMU,Lo/Gr,Ke,B',0,P 1
6e19,SI,(Al)/Gw,9aH,D,1W,P 3 h 4 m11
6s 3+7s 3,MARL,Al,53b,B,1Sb,P 2 p 3
3s 4,SI,Al,S4,A    +B,1W,P 1 l 1
6e16,MARL,Cw+Ss,22eH,E,1Sh1Ss1T,P 2
lake,SI,lake,lake,lake,lake,lake
6e23,SI,Gw,55aH,D,2W  Sh,P 3 p 4
6c 4,TMU,Kt/Mo,Mx,C    +B,0,N3a M 6 n4a
8e 9,SI,Gw,57,F,3Sc Da Sh,P 4 p 3
6s 8,SI,Al,95,A    +B,1W  Sb,M 7 m11 p 2
8e 9,SI,St2,57d,G    +F,3Sh Ss,P 4
7e21,SI,St2,55cH,E    +F,1Sh,P 4 p 3
7e20,MARL,Gw,51,F,2Sh1Sc1G,H 7 m10 p 3
6e 8,SI,Lo/St2,20 H,E,1Sh Ss,P 2 p 3 m11
4s 9,SI,Al,9c,B    +C,1W,P 1 p 2
lake,SI,lake,lake,lake,lake,lake
6e 2,MARL,Ls+Ms,74a,E,2Ss1Sh,P 3 m 6 p 2
4s 9,SI,Al,S4,B,1W,P 1 p 2 h 2
7e20,MARL,Gw,51,F,1Sh1G,P 3 m11 p 2 h 7 m10
6e 2,MARL,Ls+Ms,74,E,1Sh1Ss,P 3 p 2
6s 2+6c 1,MARL,Al,99,C,2D,P 2 p 3 h 7 m10 m11
7e24,MARL,Gw,57a,F    +G,1Sh1G,M 2 p 3 m 1 h 4 n4b
6w 3,SI,Al,87,B,0,P 5
4e 6,MARL,Lo/Ms,15b,D,1W,P 1
8e 5,SI,Gs+St2+Ma,66c,F    +G,1Ss,N 4 m 6
2s 1,WKO,Us/Vo,48a,A,0,P 1
6e28,SI,St1,54iH,E,1Sh,N 4 P 3 p 4 m 4 m 1
6e 3,BOP,Mo/Vo,16aH,E,1Ss,P 1
6e17,SI,(Lo)/Ss,7H,D,1Ef Ss,P 1 m 6
6s 1+7w 1,SI,Al,98d,A    +B,1Sb,N 4 n3a m 1
2w 3,WKO,Us,48b,A,0,P 1
lake,SI,lake,lake,lake,lake,lake
6s12,SI,(Lo)/Al,85,C /D,1Sh W,M 1 m 4 p 2
4e13,SI,Lo/St1,54b,C,1Sh,P 3 p 4 p 2
rive,SI,rive,rive,rive,rive,rive
6e17,MARL,Gw,57a,F,1Sh,P 2 m 4 p 3 m 1
7e25,SI,Gs+St2+Ma,62eH,D    +E,1Ss,sN3a n 4 m 6
8e 5,SI,Gs+St2,66c,G    +F,1Ss,N 4 n3a
1c 3,TMU,Mo,E2,A,0,P 1
6s 1,MARL,Al,Aw,A,1W 1Sb,P 2 m 7
7s 1,SI,Al,99d,A,2Sb,N 4 m 1 m 6
8e 3,TMU,Mm,116a,G    +F,1Da1Ss,cN 5
estu,NLD,estu,estu,estu,estu,M12
3s 3+4s 3,MARL,Al,Aw,A,1W,L 2 p 1
3e12,SI,Lo,28b,B    +C,1W,P 1
8e 3,SI,(Al)/Gs+Gn,66cH,D    +E,1Sh,N 4 m 6 p 4
4s 5,MARL,Al,Rn,A,1W,P 2
7w 2,MARL,Al,92,A,0,H 2 h 5
7e11,SHW,Ar,120a,E /F,1G 1Ss,P 2 m 1
8e 3,SI,Gw+Ar,46cH,D    +G,1Ss Es,M 6Sn3a n 4
8e 5,SI,Gs+Gn,66c,G,2Da,sN 4 m 6
3w 3,SI,Al,89e,A,0,P 1 p 5 l 3 m 8
7s 6,SI,Pt,87,A,0,H 1 M 1 m 8
7e25,SI,Gw+Ar,62eH,D    +C,1Ss,sN3a n 4
4e 1,SHW,Lo/Sm,35b,C    +D,0,P 1
6e12,MARL,Gw,24,F,1Sh1G,P 3 m 4 p 2
7e 7,TMU,Mb,KaiS,F,2Ss1Sh,P 2 m 4
6e 8,MARL,Gw,41a,E    +F,1Sh1G,P 3 m 4
town,SI,town,town,town,town,town
6e12,MARL,Gw,24,F,1Sh,M 4 p 2 m 1 p 3
6e 1,NHB,Sm,Mo,D,0,P 1 m 1
town,SI,town,town,town,town,town
7e20,SI,Fy,46bH,E    +D,0,N3a n 4
7w 3,SI,Al,PAg,A,0,H 1 p 2
4e 1,WKO,Mo,59a,D    +C,0,P 1
7e 7,MARL,Gw,41a,F    +E,1Sh,P 3 m 2 m 1
7w 3,SI,Al,92,A,0,H 1
3s 8,SI,Al,99c,A    +B,1Sb,P 1 m 8 n3a
6e11,SI,Gw,42a,F    +E,0,M 1 N 5 n 4
6s 1,MARL,Al,95a,B,1W 1D,M 8 p 2
6e15,MARL,(Lo)/Cw,17b,F    +E,1Sh,P 2 m 7
6s 1,MARL,Al,Cb4,B,1Sb,P 1
6e 3,SHW,Mb,29 H,E    +D,1T,P 2 m 1
3s 4,MARL,Al,34a,A,1Sb,P 1 l 3
7e12,MARL,St2,47c,F    +E,1Ss1Sh,M 4
4e 6,MARL,(Lo)/Ms,16eH,B    +C,1Sh,P 1 h 2
7e12,MARL,St2,47c,E    +F,1Sh,M 1 n4a
7s 1,MARL,Al,95a,B,1Sb1D,M 8 p 2 n 6
6e12,MARL,Gw,24,F,1Sh1Ss,M 4 p 2 m 1 m 6
6e 6,TMU,Mo/Sm,NplH,D    +E,0,P 2cn 5
6e 7,MARL,Al,32aH,E    +D,1Sh,P 1
6e12,MARL,Gw,24,F,1Sc1G,M 4 p 2 p 3
7e 7,MARL,Gw,41a,F    +G,1Sh,M 4 p 3 p 2
6e 8,MARL,Gw,41a,F,1Sh1G 1Ss,P 3 M 4
6e 2,EBP,Gw,52 H,E,1Ss,M 4 m 1
3e 1,WKO,Mo,57,C    +D,0,P 1
4e 1,WKO,Mo,Du,D,0,P 1
7e24,MARL,Gw,57a,F,2Sh2G,M 1 n4b p 3
3s 2,SI,Al,Sy,B,0,P 1 l 4
3s 1,SHW,Lo/Gr,30,A,0,P 1 l 3
6e14,TMU,Sm,KuH,E    +F,1Ss1Sh,P 2
4s 1,SHW,Al/Gr,58A,A,0,P 1 l 3
6e 7,NLD,Ar+(Vo),OMH,D,1Ss,M 1 n3a m 8
6e 8,COR,Vo',88 H,D /E,1Sh1W,P 2
rive,MARL,rive,rive,rive,rive,rive
6e17,NLD,Gw'+Gw,MRH,F    +E,1Sh1Ss,P 1 n 1
6e15,WKO,Us+Wb,HoH,D    +E,1Sh1W,P 2
estu,NLD,estu,estu,estu,estu,M12
8e13,MARL,Gw,58,E,2Sc1Sh,P 4
4e 1,WKO,Mo,60,D    +C,1Sh,P 1
6w 2,NLD,Al,WD,A,0,H 5 m 1
2e 1,TMU,Mo,66a,B    +A,0,P 1
7e 1,NLD,Vo',MNH,E    +F,1W,N3a M 1
8e 2,NLD,Vo,TES,G    +F,0,N 5 n3a m 6
8e 3,NLD,Sb,ANS,G    +F,2Ss2Sh,N 1 m 6
4e 1,WKO,Mo/Gw,Kh,D,0,P 1
7e20,MARL,Gw,51,F,3Sc2Sh1G,P 4 m 5 p 3
rive,MARL,rive,rive,rive,rive,rive
7c 1,MARL,Al,53b,C,1Sh,P 3 m11 m 5
6e 9,NLD,Gw',MR,D    +E,1Sh,N3a p 1 m 1
6s 2,BOP,Kt/Mo/Vo,ToiH,D    +E,0,N3a m 6
7e 9,NLD,Us,TTH,F    +D,2G 2W 1Sh,P 1 m 1 n3a
4w 1,NLD,Al,MF,A,1Sb,P 1 n 7 h 2
6w 1,NLD,Al,MFm,A,0,P 1 n 7
6e 8,SHW,Mb,25 H,E,0,M 1
8e12,MARL,Gw,58,F,4Sc,p 4 h 4
6e 6,TMU,Mo/Sm,NplH,E,0,N3a
8e 3,NLD,Vo,HAS,G    +F,2Sh2Ss1W,H 3
4e13,BOP,Kt/Mo+Tp,Toi,C,0,P 2 l 3
4e12,NLD,Ar',WK,C,1G,P 1 m 8
6e14,NLD,Us+(Wb),OE,C    +D,0,N 6
4e 1,BOP,Mo/Us,54,C /D,0,P 1 l 2
4e 7,TMU,Mo,68,D    +E,0,P 1
town,NLD,town,town,town,town,town
6s 5,TMU,Kt/Mo/La,MxH,D,0,P 2 m 6 n3a n4b
7e 4,COR,Vo,130,F /G,0,N 5
4e 3,COR,Mo/Vu',88b,C /D,0,P 2 m 1
6e12,SHW,Ac,28cH,E,2Ef1Sc,P 2
3w 2,NLD,Al,KP,A,0,P 1 h 1 l 4
4e 5,TMU,Mo/Mm,19a,C    +D,0,P 1
6e 1,WKO,Mo/Vo,62eH,D    +E,1Sh,P 1
7e 3,WKO,Us,24aH,F /G,1Sh,P 1 h 3
4s 5,NLD,Us/Ar,TEK,A,0,P 1
4s 5,NLD,(Al)/Us+Pt,KK,A    +B,0,P 1 h 2
8e 1,NLD,Wb,PN,C    +B,3W,P 6
3s 6,MARL,Al,Dw2,A,1W,P 1 l 3
3w 1,NLD,Al,MF,A,0,P 1
8e 2,GEC,Sm+Mj,@NZSC,H    +F,2Ss2Rf,refer gecveg
6e 2,NLD,Vo'+Vo,RUH,E,1Sh,P 1 m 1 m 8
6e 2,NLD,Vo',RU,D,0,P 1 m 1
6e19,NLD,Sm,HWH,E,1Sh1G,M 1
7e10,NLD,Wb,BRock,B    +A,1W,N 6 p 6
7e10,NLD,Wb,PN,B    +C,2W,M 1 H 3
4e 3,GEC,Mo/Mj,@NZSC,C    +D,1G,refer gecveg
8s 2+7e26,GEC,Gr,@NZSC,A,3D,refer gecveg
3e 1,WKO,Mo,KeR,C,0,P 1
estu,NLD,estu,estu,estu,estu,M12
3e 4,WKO,Us,Mu,B /C,0,P 1
estu,NLD,Al,MF,A,0,P 1 M 8 m12
6e 2,NLD,Vo',RUH,E,1Sh,M 1 p 1 n3a
3w 4+2e 3,WKO,(Mo)/Us,Pa,A    +B,0,P 1
town,WKO,town,town,town,town,town
2w 2,WKO,Pt,Mo,A,0,P 1
7e 2,WKO,Gw,WnS,F /G,2Ss2Sh,P 2
8e13,MARL,Gw,100,F    +G,4Sc2G,-
1s 1,WKO,Us,Wh,A,0,P 1
5c 1,NLD,Li,KN,D    +C,0,P 1 m 1 n3a
4e 3,WKO,(Mo)/Li+Mm,60c,C    +D,0,P 1 m 8
2s 1,WKO,Us+Gr,48,A',1D 1Sb,P 1 m 8
3w 5,TMU,Mo,Gl-Oe,A,0,P 1
4e 1,WKO,Mo,TK,C    +D,0,P 1 n3a
6e19,NLD,Ar+Sm,HKH,D    +E,0,M 1 N 6
8e12,MARL,Gw,58,F,4Sc1Sh,P 3 p 4
7e20,MARL,Gw,51,F    +G,2G 1Sh,P 2 p 3 m10 m11
7e 3,MARL,Ls,74,F    +G,1Sh1Ss,P 3 p 2
8e11,SI,Gw+Gn,BRock,G,2Sc,-
7e17,TMU,Sm,117e,F    +G,1Ss1Sh,M 6 n4a n3a
7e20,MARL,Gw,51,F    +G,1Sh1Da1Sc,P 3 h 7 p 2
7e 1,NLD,Vo,TES,F    +G,0,N3a n 2
6e19,MARL,Gw,51,E,1Sh,P 2 h 7 m11 m10
4e 1,WKO,Mo,57,D    +C,0,P 1
4e12,BOP,Mo/Vo,20a,C    +D,0,cN 5cn3a
8e13,MARL,Gw,100,G,2Sc1Da1Sh,h 4 p 4
7e24,GEC,Ar+Ac,@NZSC,F    +G,2G 1Su1Sb,refer gecveg
6e 1,NHB,Mm,Ti,D    +E,0,P 1 m 1
4e 1,WKO,Mo,62a,D    +C,0,P 1 p 2cn 5
7e11,TMU,Sm,WgS,F,1Ss,M 6 P 2 n3a
6e 6,TMU,Mo/Sm,NplH,E,0,N3a
7c 1,MARL,Al,53b,C,1W,P 3 m11
4e 1,WKO,Mo,59,D    +C,0,P 1 l 1
8e13,MARL,Gw,BRock,G,2Sc1Da,P 3 p 4
estu,NLD,estu,estu,estu,estu,M12
4w 1,NLD,Al,MF,A,1Sb,P 1 h 2 n 7
8e 8,SHW,Gw,TpH,E,2Sh2W,P 3 h 4
estu,NLD,estu,estu,estu,estu,M12
6c 1,MARL,Al,50a,B,1W,P 2 h 7
4e 1,WKO,Mo,62a,D,0,P 1
2s 1,WKO,Us,48,A    +B,0,P 1
7e26,GEC,Al/Gr,@NZSC,A',3D,refer gecveg
4s 3,BOP,Kt/Gr,Gr,C,1Sb,P 1
7e23,GEC,Mb+Mj,@NZSC,G    +H,3Ss1Rs1Su,refer gecveg
4w 1,GEC,Al,@NZSC,A',2Sb,refer gecveg
7e23,GEC,Mb+Mj,@NZSC,F    +H,3Sh2G 1Sc,refer gecveg
7e 9,WKO,(Mo)/Gw,122a,G    +F,1Da,N3a n3b
4e 1,WKO,Mo,60f,D,0,P 1
3w 1,WKO,Al,1,A,1Sb,P 1
4e 1,WKO,Mo,TK,D,0,P 1
5s 1,TMU,Mo/La,KuiH,D    +E,0,P 1
6e17,MARL,Gw,57a,F,2Sh,M 1 p 2 m 6
7e 3,SI,Gw,41a,F,3G  Sc,N 4 p 3
2e 3,WKO,Mo,Ke,B,0,P 1
6e13,WKO,Gw,PaS,F,1Ss1Ef,P 2 m 4
6e19,BOP,Kt/Mo/Ft,TpH,D    +E,1Sh1T,P 2
3s 1,TMU,Al+Mo,1b,A    +B,0,P 1
6e 8,WKO,Mo/Sm,TKH,E,1Ss1Sh,P 2 m 8
1s 1,WKO,Us,Wh,A,0,P 1
7e21,SI,St2,55cH,E,2Sh W,P 4 p 3
5s 1,WKO,Mo/Li,63aH,D    +E,0,N3a m 1
7s 6,SI,Pt,87,A,0,H 2 P 2
6e19,SI,St2,9dH,E,1Sh,P 3 M11 p 2 p 4
5c 1,TMU,Mo,68 H,E    +D,0,P 1
2w 3,WKO,Us,Wt,A,0,P 1 l 1
6e15,SI,(Lo)/Gw,29aH,D    +E,1Sh,P 2 p 5 p 1 m11
3w 3,GEC,Al,@NZSC,A,0,refer gecveg
7e14,TMU,Mo/Mj,WtHs,D,3Ef1G,P 2 h 2
6e 9,BOP,Kt/Mo/Gw,ToiH,E,0,N3a n3b
8e 9,SI,Gw,57,G,3Sh Sc,p 3 p 4
1w 1,GEC,Al,@NZSC,A,0,refer gecveg
lake,SI,lake,lake,lake,lake,lake
6e17,NLD,Gw,MRuH,E    +F,1Ss,cN3a m 1 m 6
4e 5,NLD,Sm'+Sm,YCr,C    +F,0,P 1
6s11,SI,Al,99,B,1Sh,P 3 m 1
6e10,GEC,Mj,@NZSC,F    +E,1Ss1Sh,refer gecveg
6e19,SI,(Al)/St2,9 H,E    +D,1Sh Ss,P 3 m11 m 8
5s 2,TMU,Mo/La,KhH,E,0,P 1
3w 3,GEC,Al+Kt,@NZSC,A    +B,0,refer gecveg
6e10,TMU,(Mo)/Mm,WHv,E,1Ss,P 2 m 4
6e 3,WKO,(Mo)/Mm+Sm,25 H,E,0,P 1 M 4
6s 3,GEC,Wb,@NZSC,A,0,refer gecveg
7c 4,SI,St2,55c,B    +C,2W,P 3 p 4
3s 3,NHB,Mo,Tu,B    +C,0,P 1
estu,NLD,estu,estu,estu,estu,M12
6e23,TMU,Sm,WH,E /F,1Ss,M 1 p 2
4e 7,TMU,Mo,Wv,C    +D,0,P 1
6e 3,TMU,Mo/Mb,WtH,D,1Ss,P 1
3w 1,WKO,Al,98,A,0,P 1 h 2
3w 1,GEC,Al,@NZSC,B,0,refer gecveg
4e 1,WKO,Mo,57a,D,1Sh,P 1
3w 1,BOP,Tp,Re,A,0,P 1
6e17,TMU,Mo/Sm,WH,E,1Ss,N 6 p 2
8s 1,BOP,Vo,MotS,G,0,M 1 n 5
8e 3,SI,Gs+Gn,66cH,D    +F,1Sh,N 4 m 6
6s 5,MARL,Al,50a,C,0,P 2 h 7 m11
7e 1,NLD,Vo,TES,G    +F,0,N3a
6e20,TMU,Mo/Mj,WtHs,D,1Ef,P 1
7e11,TMU,(Mo)/Sm,WgS,F,1Ss,N3a m 1 n4a
7e11,TMU,Sm,116,F    +G,1Ss,M 6 M 1
6e23,TMU,(Mo)/Sm,65 H,E /F,0,M 1 m 4 p 2
6e 9,SHW,Sm,31dH,E,1Ss,P 1
rive,MARL,rive,rive,rive,rive,rive
6s 6,TMU,Lp+Mo,70a,C',0,N3a n 5
6w 1,BOP,Tp+Pt,111c,A,0,N 8 h 1
7e20,MARL,Gw,51,F,2Sh1Sc,P 2 h 7 m10
3c 4,TMU,Mo,St,A    +B,0,P 1
4c 1,TMU,Mo,65b,B,0,N4a m 1
6e 7,GEC,Kt/Sb,@NZSC,D,0,refer gecveg
7e11,TMU,Sm,WgS,F    +G,2Ss1Sh,M 4 M 1 p 2
2w 2,TMU,Al,2,A,1Sb,P 1
4e 7,TMU,Lp+Mo,Rc1,D,0,P 1 p 2 m 6
7c 1,TMU,Ng/Mo,Nu,C',0,P 5
3e 1,TMU,Mo/Al,Ye,B,0,P 1
3e 5,TMU,Mo/La,65,C,0,P 1
6e20,BOP,Ta/Kt/Vo,5,C,0,N 6
town,TMU,town,town,town,town,town
3e 5,TMU,Mo/Mj,65,B,0,P 1
4w 4,TMU,Mo/Al,100b,A,0,M 1 p 2 h 2
3s 2,NHB,Lo/Gr,39A,A,0,P 1 l 1
6e 1,TMU,Mo/Us,66 H,E    +D,0,P 2 m 6
6e 6,SI,Gw,35aH,E,1Sh,P 2 p 3 m11
6s 5,MARL,Al,49a,B,1W,P 2 h 7
2s 1,BOP,Mo/Vo,16,B,0,P 1 l 2
4s12,SI,Al,48b,B,0,P 2
2c 2,TMU,Mo,66,A,0,P 1
3e 1,WKO,Mo,57,C    +B,0,P 1
2s 1,WKO,Us,TP,A,0,P 1
7e 4+3e 4,TMU,Mm+Al,114a,F    +C,2Ss1Ef,P 2cn3a m 6
8e 3,NLD,Vo,BRock,G,0,H 3 n 1
6e15,SI,Ls,71aH,E,2Ss,P 2 m 1
6c 2,TMU,Sm,65 H,D,0,N4a p 2 m 6
7e 4,TMU,Sm,ThS,F,1Sh1Ss,P 2
3s 3,MARL,Al,Gb,A,1W,L 2
5s 6,SI,Al,19e,A,0,P 1 p 6
6e 1,NHB,(Mo)/Sm,51,D    +E,0,N 6 p 2
3w 4,SI,Al,W,A,0,P 1 l 3
7s 3,MARL,Al,99,A,2D 2Sb,P 2 h 7 p 5 m 7
2w 3,WKO,Us,Wh,B    +A,0,P 1
