luc_class,region,rock_type,soil,slope,erosion,vegetation
7s 9,SI,Al,DTail,B',1W,h 7
3e 3,WKO,Mo,83,C,0,P 1
8e 4,SI,Gw,51b,G    +F,4Sh G,p 3 m10 m 1
7e13,GEC,(Mo)/Vo,@NZSC,F,1Da,refer gecveg
6e 8,NLD,Sb,PBuH,E    +F,0,N 1 m 1 p 1
3e 1,WKO,Mo,59,B    +C,0,P 1
estu,SI,estu,estu,estu,estu,estu
lake,SI,lake,lake,lake,lake,lake
7e 6,COR,Wb,6a,B /C,2W,H 5
7e 7,MARL,Gw,41a,F,1Sh,M 1 p 3 m11 p 2
8c 2,SI,ice,ice,ice,ice,ice
rive,MARL,rive,rive,rive,rive,rive
2e 2,MARL,Lo/Al,20c,A,1W,P 1 l 1 l 3 h 2
6e19,MARL,Gw,51,E    +F,1Sh1G,P 2 p 3 h 7 p 4 m11
8e 6,SI,Al/Gw,58,D,2Sc,P 4 p 3 h 4
8c 2,SI,ice,ice,ice,ice,ice
6e 9,NLD,Gw,MRH,E,0,N3a p 2
8c 2,SI,ice,ice,ice,ice,ice
lake,SI,lake,lake,lake,lake,lake
8c 2,SI,ice,ice,ice,ice,ice
lake,SI,lake,lake,lake,lake,lake
6e 9,SHW,Sm,31fH,D    +E,1Ss1T,P 1 m 1
2s 1,TMU,Al,7b,A,0,P 1
8c 2,SI,ice,ice,ice,ice,ice
8c 2,SI,ice,ice,ice,ice,ice
8e 7,SI,Gs,67e,G    +F,2Sc Sh,P 4 m 5
8c 2,SI,ice,ice,ice,ice,ice
6e13,MARL,Gw,17a,E    +F,1Sh,P 2 p 3 m 1
6e14,MARL,(Lo)/Cw,15dH,E    +F,2Sh2G 1T,P 2 p 3
lake,SI,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
3s 6,MARL,Al/Ms,14c,A,1W,P 1
lake,SI,lake,lake,lake,lake,lake
lake,SI,lake,lake,lake,lake,lake
3w 2,NLD,Al,YUa,A,0,P 1 h 2 h 1
lake,SI,lake,lake,lake,lake,lake
town,SI,town,town,town,town,town
4s 5,NLD,Us+(Wb)/Us,OE,B,0,N 6
8e 1,NLD,Wb,BRock,B,4W,h 3 p 6
8w 1,SI,Pt/Al,87a,A,0,H 1 M 1
lake,SI,lake,lake,lake,lake,lake
6e19,NLD,Sm+(Cg),HWH,E    +D,1Sh1G,M 1
lake,SI,lake,lake,lake,lake,lake
6e 2,NLD,Vo',MNH,E,0,M 1 m 6 n3a
lake,SI,lake,lake,lake,lake,lake
6e16,MARL,(Lo)/Ms,16eH,E,1Sh1Ss1T,P 2 p 1 p 3 m11
2s 3,GEC,Mo,@NZSC,A,0,refer gecveg
6e11,SI,St2,15a,F,1Sh,M 6 m 1 p 2 p 3
estu,SI,estu,estu,estu,estu,estu
4s 3,MARL,Al,Om3,A,1W,P 1
estu,NLD,estu,estu,estu,estu,M12
8s 1,NLD,Um+Vo,BRock,G,2W 2Sh,h 3
4s 5,NLD,Us,TEKm,A,0,P 1 h 2
8e 1,NLD,Wb,BRock,C    +A,5W,p 6 h 3
7e21,SI,St2,57d,F,2Sh Sc Ss,P 4
3s 4,NLD,Wb/Sb,WD,A    +B,0,P 1
lake,NLD,lake,lake,lake,lake,lake
6e 9,BOP,Kt/Mo/Gw,MeH,D,0,N4a
4s 3+6s 4,SI,Al,Mo,B    +A,2Sb D,N 6 p 2
